id,x,y
Cashier57,0.2872956,0.8095102
Cashier58,0.24616748,0.78896636
Cashier59,0.3591872,0.90710974
Cashier60,0.29669273,0.85290676
Cashier61,0.27843505,0.8841674
Cashier62,0.263673,0.86382395
Cashier63,0.30743822,0.82457376
Cashier64,0.27036986,0.7955166
Cashier65,0.30228433,0.8592571
Cashier66,0.29147756,0.8356649
Cashier67,0.24833195,0.85157126
Cashier68,0.24932131,0.7962693
Cashier69,0.25756526,0.86958873
Cashier70,0.29530573,0.82532835
Cashier71,0.3191579,0.7740634
Cashier72,0.28992027,0.8568948
Cashier73,0.29497218,0.83306944
Cashier74,0.31130466,0.81655246
Cashier75,0.27604383,0.76097655
Cashier76,0.32411677,0.82001096
Cashier77,0.27943215,0.8382464
Cashier78,0.2780088,0.8465737
Cashier79,0.30362567,0.83727735
Cashier80,0.28117064,0.8136636
Cashier81,0.30261767,0.83967704
Cashier82,0.2988249,0.81557804
Cashier83,0.2912206,0.84434664
Cashier84,0.32770112,0.8462927
Cashier85,0.25712717,0.8380892
Cashier86,0.30975425,0.8508934
Cashier87,0.2958788,0.8137215
Cashier88,0.30315045,0.838874
Cashier89,0.27528095,0.8392801
Cashier90,0.30311775,0.8475942
Cashier91,0.40135965,0.8858668
Cashier92,0.29775733,0.85037273
Cashier93,0.28989357,0.85243195
Cashier94,0.2896498,0.8664769
Cashier95,0.2988349,0.8326643
Cashier96,0.3215706,0.789844
Cashier97,0.29473034,0.8394485
Cashier98,0.27213338,0.8560501
Cashier99,0.26459387,0.83285713
Cashier100,0.2831212,0.84820455
CEO1,0.9399917,0.54142493
CEO2,0.9908784,0.51176804
CEO3,0.7900345,0.4707946
CEO4,0.95410174,0.5384373
CEO5,0.8358883,0.4566892
CEO6,0.89210266,0.68157953
CEO7,1.0,0.5423547
CEO8,0.9962345,0.6088157
CEO9,0.8129053,0.38033396
CEO10,0.8868065,0.55278665
CEO11,0.90847045,0.7441375
CEO12,0.9183725,0.63028777
CEO13,0.92906314,0.6506865
CEO14,0.90019685,0.61045396
CEO15,0.7614209,0.38154587
CEO16,1.0,0.509908
CEO17,0.87532693,0.6744058
CEO18,0.9360048,0.6494103
CEO19,0.71773547,0.4644784
CEO20,0.9166208,0.6786122
CEO21,0.78571355,0.59012717
CEO22,0.9504249,0.67449355
CEO23,0.8962563,0.6764211
CEO24,0.7418953,0.45160806
CEO25,0.7854819,0.53468114
CEO26,0.7561003,0.45094192
CEO27,0.75513154,0.44116068
CEO28,0.9604697,0.53206486
CEO29,0.8534791,0.67223436
CEO30,0.81329376,0.5336194
CEO31,0.7286406,0.36241126
CEO32,0.7189826,0.4119231
CEO33,0.74390775,0.48588768
CEO34,0.7542053,0.47728932
CEO35,0.7734588,0.44715047
CEO36,0.9081554,0.6536603
CEO37,0.9042913,0.69472086
CEO38,0.7132559,0.47759852
CEO39,0.9177807,0.6265106
CEO40,0.7262376,0.44082448
CEO41,0.9231835,0.559432
CEO42,0.7479866,0.39872158
CEO43,0.82087326,0.3988003
CEO44,0.8162779,0.45145348
CEO45,0.67093176,0.5441889
CEO46,0.94953656,0.6475007
CEO47,0.96053714,0.7227718
CEO48,0.9090237,0.6674993
CEO49,0.94220054,0.4642041
CEO50,0.9407715,0.6736846
CEO51,0.9163115,0.5806215
CEO52,0.72212094,0.471361
CEO53,0.9121675,0.6517726
CEO54,0.914615,0.6221459
CEO55,0.6709297,0.5557872
CEO56,0.9216942,0.6568741
CEO57,0.7478514,0.40216556
CEO58,1.0,0.67620814
CEO59,0.78170764,0.46726874
CEO60,0.8305914,0.52451646
CEO61,0.7804188,0.41309088
CEO62,0.88728696,0.5412738
CEO63,0.9958726,0.5080361
CEO64,0.92027843,0.59504414
CEO65,0.94188195,0.6458684
CEO66,0.8918255,0.64810854
CEO67,0.8635385,0.6230565
CEO68,0.9196151,0.5890735
CEO69,0.9285911,0.6702012
CEO70,0.8697739,0.6313363
CEO71,0.9879994,0.6717309
CEO72,0.9342403,0.6532968
CEO73,0.8983525,0.58207446
CEO74,0.73811275,0.46099645
CEO75,0.8995923,0.6615223
CEO76,0.9132401,0.6460133
CEO77,1.0,0.6377527
CEO78,0.87414205,0.6729793
CEO79,0.9032435,0.69594425
CEO80,0.94195104,0.6663687
CEO81,0.988316,0.53210515
CEO82,0.8526422,0.6362791
CEO83,1.0,0.64804214
CEO84,0.99999034,0.5667766
CEO85,0.95042855,0.59886533
CEO86,0.9346196,0.61081976
CEO87,0.7415304,0.47852305
CEO88,0.8359452,0.43272924
CEO89,0.88199526,0.7249834
CEO90,0.89158005,0.6578042
CEO91,0.89303285,0.6294764
CEO92,0.8409601,0.5308652
CEO93,0.8795137,0.6458954
CEO94,0.86069405,0.65860575
CEO95,0.94446033,0.64679265
CEO96,0.9913094,0.5695291
CEO97,0.7912519,0.4113884
CEO98,0.9481501,0.74048835
CEO99,0.9411768,0.6279721
CEO100,0.7672549,0.40987486
ChildCareWorker1,0.36660928,0.69702315
ChildCareWorker2,0.40314227,0.63707066
ChildCareWorker3,0.40314454,0.67085266
ChildCareWorker4,0.4374288,0.62540776
ChildCareWorker5,0.42242756,0.6283868
ChildCareWorker6,0.402555,0.68899494
ChildCareWorker7,0.39124694,0.6098795
ChildCareWorker8,0.4452508,0.62641263
ChildCareWorker9,0.37103358,0.57422614
ChildCareWorker10,0.4286017,0.615936
ChildCareWorker11,0.45486656,0.67383283
ChildCareWorker12,0.39689276,0.6292635
ChildCareWorker13,0.41861784,0.6655925
ChildCareWorker14,0.45174184,0.6159818
ChildCareWorker15,0.49769464,0.6392676
ChildCareWorker16,0.42501113,0.63053834
ChildCareWorker17,0.40123293,0.8929556
